,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
다큐먼트,0.52785414,0.5064054,0.4435339,0.553553,0.48104352,0.39608908,0.3708132,0.52121735,0.5042732,0.42871684,0.42594048,0.46186388,0.43122372,0.4256932,0.38405913,0.53016615,0.32893986
단계,0.39934504,0.40257615,0.34036443,0.3982864,0.32522643,0.3471518,0.3004819,0.36570913,0.3970343,0.31712002,0.34166014,0.32655302,0.30513498,0.32545656,0.25575727,0.3718436,0.2608437
단계적,0.45486224,0.4482652,0.38006172,0.47882646,0.38244238,0.37668562,0.34187806,0.42449805,0.46072555,0.38357517,0.37368223,0.3715975,0.37046617,0.3541577,0.3444857,0.42707735,0.28623852
단독,0.42614785,0.41530782,0.35898346,0.4775977,0.36820954,0.31886733,0.27838427,0.4257927,0.41890287,0.34231508,0.31238312,0.26903364,0.37116253,0.26676884,0.32087356,0.38714814,0.25149703
단속,0.41556752,0.39614928,0.33774558,0.511405,0.35006893,0.2891696,0.27608043,0.43559512,0.4220745,0.3647588,0.28110558,0.2845263,0.38553715,0.2897631,0.36338025,0.38305736,0.23434415
단순,0.4405251,0.4047687,0.383088,0.51923776,0.37027502,0.3585431,0.3056661,0.47547597,0.4361712,0.34805042,0.31351066,0.27560288,0.41860935,0.30888444,0.39231175,0.4019698,0.28894514
단어,0.4233665,0.42042843,0.3715506,0.45260358,0.35452437,0.32781932,0.2772277,0.46752554,0.37503803,0.29036665,0.33172426,0.2320134,0.46023494,0.30426097,0.37304384,0.35181218,0.36039096
단원,0.44368288,0.43706608,0.36232322,0.4634903,0.39852387,0.32556206,0.29112768,0.43588254,0.4465735,0.3810772,0.3453232,0.34812015,0.38110423,0.3166909,0.29020023,0.40280175,0.25092608
단위,0.38226956,0.37147307,0.32112908,0.42393294,0.34065905,0.30013368,0.2763765,0.3857987,0.38866943,0.3185644,0.2976212,0.2822502,0.33320498,0.27062684,0.270795,0.35086137,0.24080774
단점,0.41646397,0.42421785,0.3443771,0.4114316,0.36358237,0.34223732,0.36130565,0.38278377,0.3949224,0.36437914,0.3414758,0.30658948,0.32043585,0.27317297,0.23311463,0.36997187,0.23289526
단지,0.3796879,0.35402974,0.3051687,0.48881572,0.3167997,0.26680857,0.22787988,0.41842777,0.40031987,0.31211483,0.22912097,0.2159535,0.36759606,0.24643046,0.36540502,0.34564728,0.21197158
단체,0.49097037,0.5071261,0.39676142,0.47239545,0.43983948,0.34791183,0.3146971,0.44088855,0.46394885,0.45628792,0.4102139,0.42071688,0.4031967,0.37163818,0.2949407,0.47371268,0.27286088
단축,0.37838274,0.36567712,0.3239535,0.41812834,0.32166034,0.29022437,0.26507634,0.37295532,0.3709332,0.31297258,0.29299265,0.27421528,0.3126749,0.2606567,0.25266147,0.34286246,0.22576368
